"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"y_fit[12,1]",-19.24270255,-19.24955,0.227935051219518,0.225725849999998,-19.604335,-18.8579,1.00057500303178,7427.27292582738,6916.30840963904
"y_fit[13,1]",-19.4070701625,-19.41275,0.200826084792328,0.199632090000006,-19.725,-19.0651,1.00065833103672,7424.57035805426,7106.72048460436
"y_fit[14,1]",-19.40715505,-19.4129,0.200815728969677,0.199632090000001,-19.725005,-19.065195,1.00065812272329,7424.58811003792,7149.18852968547
"y_fit[15,1]",-19.407155425,-19.4129,0.200815660206674,0.199632090000001,-19.725005,-19.065195,1.00065814024561,7424.6012943749,7149.18852968547
"y_fit[16,1]",-19.9810204,-19.98075,0.143784562154215,0.14032809,-20.215705,-19.74509,1.00025038516232,7138.99309896718,7167.10763387191
"y_fit[17,1]",-19.981121425,-19.9809,0.143779484962238,0.140402219999999,-20.215805,-19.74519,1.00025022266353,7138.67512071873,7167.10763387191
"y_fit[18,1]",-19.981179125,-19.9809,0.143776433924699,0.140402219999999,-20.215805,-19.74519,1.00025015161471,7138.67650106998,7167.10763387191
"y_fit[19,1]",-19.402178325,-19.36675,0.217316720444648,0.226318890000007,-19.79901,-19.0992,0.999831881384393,5473.27834018715,6956.59354368157
"y_fit[20,1]",-19.4019530125,-19.3665,0.217335305847487,0.226318889999999,-19.798815,-19.098995,0.999832305907886,5473.37302004184,6878.40950997355
"y_fit[21,1]",-19.4017495875,-19.36625,0.217352503099585,0.226318890000002,-19.79871,-19.098795,0.999833597919592,5473.44634846493,6878.40950997355
"y_fit[1,2]",6.7816747475,6.78082,0.38301975742471,0.361665444,6.145541,7.408605,0.999966597018753,7103.85748953147,6662.06004001374
"y_fit[2,2]",6.78168454625,6.78083,0.383017518960129,0.361665444,6.145551,7.408615,0.999966689466912,7103.84016575529,6662.06004001374
