variable;mean;median;sd;mad;q5;q95;time;
p_fit[191;1];0.0080994077327695;0.0043539;0.0102704038453389;0.0052549771071;0.0002390546;0.029837365;490.004109622571
p_fit[192;1];0.008099403046562;0.004353895;0.0102703994914088;0.0052549711767;0.00023905365;0.029837365;490.00418288385
p_fit[193;1];0.00809933503370325;0.004353865;0.0102703353536379;0.005254942266;0.0002390476;0.02983717;490.005216137785
p_fit[194;1];0.00809926031600925;0.004353825;0.010270264874758;0.0052549000119;0.00023904155;0.02983698;490.006348445881
p_fit[195;1];0.008099250531644;0.004353825;0.0102702559344864;0.0052549014945;0.00023904055;0.029836975;490.006490989807
p_fit[196;1];0.008099222501626;0.00435381;0.0102702296998532;0.0052548859272;0.0002390376;0.02983688;490.006928869528
p_fit[197;1];0.00809919377890525;0.004353795;0.0102702025134141;0.0052548703599;0.00023903555;0.029836785;490.007354400279
p_fit[198;1];0.0080991502477595;0.00435378;0.0102701618592501;0.0052548577578;0.00023903155;0.02983669;490.008024313226
p_fit[199;1];0.00809913729451425;0.00435377;0.0102701490807248;0.005254845897;0.0002390305;0.029836685;490.008212600583
p_fit[200;1];0.00809913553666175;0.00435377;0.0102701473573854;0.0052548466383;0.00023902955;0.029836685;490.008237599325
p_fit[201;1];0.00809912112913875;0.004353765;0.0102701345273985;0.0052548421905;0.00023902855;0.02983659;490.008469931316
p_fit[202;1];0.00809908954291325;0.004353745;0.0102701046714732;0.0052548199515;0.00023902555;0.029836495;490.008944457606
p_fit[203;1];0.008099077477693;0.004353745;0.0102700926734163;0.0052548229167;0.00023902455;0.029836495;490.009132836475
p_fit[204;1];0.008098980716916;0.0043537;0.0102700018619674;0.0052547776974;0.0002390165;0.029836205;490.010590813002
p_fit[205;1];0.00809896646286825;0.00435369;0.0102699893892693;0.0052547665779;0.0002390145;0.029836205;490.010816207686
p_fit[206;1];0.0080989500131405;0.004353685;0.0102699734769465;0.0052547621301;0.0002390135;0.029836205;490.011063190456
p_fit[207;1];0.00809884025749075;0.004353635;0.0102698708247331;0.0052547132043;0.00023900345;0.029835915;490.012729918612
p_fit[208;1];0.00809876303496925;0.004353595;0.0102697979497051;0.0052546716915;0.00023899645;0.02983572;490.013909337977
p_fit[209;1];0.0080987243372335;0.00435358;0.0102697614534681;0.0052546583481;0.0002389934;0.02983553;490.014490969186
p_fit[210;1];0.00809869229953275;0.004353565;0.0102697312206945;0.0052546427808;0.0002389904;0.02983553;490.014980031727
p_fit[211;1];0.0080986596346545;0.004353545;0.0102697001889774;0.0052546212831;0.0002389874;0.02983543;490.0154763185
p_fit[212;1];0.00809864768193425;0.004353545;0.0102696886308686;0.005254623507;0.0002389864;0.029835335;490.015652278927
p_fit[213;1];0.00809855640809;0.0043535;0.0102696036322163;0.0052545775464;0.00023897835;0.029835145;490.01704290411
p_fit[214;1];0.00809849663702125;0.004353475;0.0102695473598112;0.0052545545661;0.00023897335;0.02983495;490.017948187618
p_fit[215;1];0.0080984336589675;0.004353445;0.0102694877670759;0.0052545234315;0.00023896735;0.029834855;490.018912264109
p_fit[216;1];0.0034431849717031;0.001197845;0.00646251319184398;0.0015645944517;3.8170045e-05;0.01406225;549.000957182595
p_fit[217;1];0.00344305956359792;0.001197755;0.00646242061496192;0.0015644773263;3.8166635e-05;0.014062345;549.002957983199
p_fit[218;1];0.00344303978427552;0.00119774;0.00646240598322046;0.0015644565699;3.816604e-05;0.014062345;549.003270881479
p_fit[219;1];0.00344301228600958;0.00119772;0.00646238553206391;0.0015644306244;3.8165335e-05;0.01406244;549.003710385188
p_fit[220;1];0.00344299474666745;0.001197705;0.00646237240331438;0.0015644106093;3.8164835e-05;0.01406244;549.00398941326
p_fit[221;1];0.0034429903401069;0.001197705;0.00646237024955068;0.0015644113506;3.816473e-05;0.01406244;549.004061995139
p_fit[222;1];0.00344297933530807;0.0011977;0.00646236085238188;0.0015644054202;3.816443e-05;0.01406244;549.00423174493
p_fit[223;1];0.00344281379708035;0.00119758;0.00646223922986932;0.0015642482646;3.8159915e-05;0.014062625;549.006877126405
p_fit[224;1];0.00344280992894757;0.001197575;0.00646223586055821;0.0015642408516;3.8159815e-05;0.014062625;549.006932886532
p_fit[225;1];0.00344276346702922;0.001197545;0.00646220170466839;0.0015642030453;3.8158515e-05;0.014062625;549.007677263352
p_fit[226;1];0.00344272639185245;0.001197515;0.00646217453287719;0.0015641630151;3.815751e-05;0.01406262;549.008269898673
p_fit[227;1];0.00344267062989302;0.00119748;0.00646212961050527;0.0015641177958;3.8156005e-05;0.014062715;549.009155100854
