variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
y_fit[6;1];-19.1168387375;-19.1248;0.313546385854895;0.31534902;-19.621515;-18.582785;0.999997458505946;7533.12330688335;6962.43236725792
y_fit[7;1];-19.1923435;-19.19685;0.255503368718846;0.253376339999999;-19.60773;-18.765895;1.00028737478432;7209.03277988767;7077.82725768682
y_fit[8;1];-19.19232975;-19.19685;0.255504838712035;0.253376340000002;-19.607735;-18.765895;1.0002873948625;7209.08648318131;7077.82725768682
y_fit[9;1];-19.19232505;-19.19685;0.255505154410804;0.253376340000002;-19.607735;-18.765895;1.00028619074544;7209.05213589043;7077.82725768682
y_fit[10;1];-19.2363644875;-19.23815;0.229880896582206;0.227949750000003;-19.60741;-18.85396;1.00062116629972;6867.61841565215;6655.68547416282
y_fit[11;1];-19.2363670375;-19.23815;0.229879855284683;0.227949750000003;-19.60741;-18.85396;1.00062131867569;6867.5972408327;6655.68547416282
y_fit[12;1];-19.2363751875;-19.2382;0.229876286176844;0.228023880000001;-19.60741;-18.85396;1.00061826095352;6867.41786917417;6655.68547416282
y_fit[13;1];-19.4012300375;-19.40515;0.202828250581379;0.202671419999999;-19.729415;-19.06248;1.00043475905409;6875.75867008643;7030.55285260825
y_fit[14;1];-19.4012928125;-19.4052;0.202819931374262;0.202671419999999;-19.72942;-19.06258;1.00043815908433;6875.61291906044;7030.55285260825
y_fit[15;1];-19.40136185;-19.40525;0.202810635399888;0.202671420000002;-19.72952;-19.062675;1.00043645043118;6875.77618141086;7030.55285260825
y_fit[16;1];-19.9796538125;-19.97945;0.144417408633635;0.14596197;-20.2172;-19.742685;0.999932452788849;6885.63463082039;7213.9808851136
y_fit[17;1];-19.97966305;-19.97945;0.144416998578361;0.14596197;-20.2172;-19.742685;0.999932481201045;6885.58108952561;7213.9808851136
y_fit[18;1];-19.9796899875;-19.9795;0.144415985197614;0.146036100000002;-20.2172;-19.742685;0.999932197626049;6885.73469301169;7213.9808851136
y_fit[19;1];-19.4107978625;-19.37565;0.219750445947199;0.228765180000001;-19.812505;-19.1051;0.99982279933173;5536.04668369653;7191.53423139582
y_fit[20;1];-19.41078325;-19.37565;0.219752073804049;0.228765180000001;-19.81241;-19.1051;0.999821942686571;5536.18571070051;7191.53423139582
y_fit[21;1];-19.4106;-19.37545;0.219767931715426;0.228839310000001;-19.81231;-19.1049;0.999822170548868;5536.03675271524;7191.53423139582
y_fit[1;2];6.78059072875;6.784425;0.378515973906478;0.351984065999999;6.165167;7.394296;1.00029208394064;6355.17757102242;6357.14755178973
y_fit[2;2];6.7808306825;6.784665;0.378461095950433;0.351924762;6.165516;7.3944555;1.00029093939666;6355.09064506514;6357.14755178973
y_fit[3;2];6.781325425;6.78516;0.378348093515552;0.351806154;6.166224;7.394793;1.00029086478986;6354.98245044835;6357.14755178973
y_fit[4;2];9.61078266375;9.67126;0.236397721508021;0.189187173;9.1330005;9.892162;0.999866930112224;7143.7321068793;7249.66080576438
y_fit[5;2];9.61111083125;9.67166;0.236414039732721;0.189142695;9.1333065;9.892483;0.999867022776001;7143.96110158891;7249.66080576438
y_fit[6;2];9.6114458025;9.67204;0.236430717719147;0.189075978;9.1336225;9.892814;0.999866941409287;7144.43136849443;7249.66080576438
y_fit[7;2];10.1245031475;10.1689;0.202754886355264;0.18873498;9.729766;10.3679;0.999955356893843;6985.08708278361;7085.5861326769
